employee_id,department,tenure_months,salary,satisfaction_score,attrition,absenteeism_days,anomaly_flag,attrition_probability
49,Finance,62,9203.01,3.83,False,2,False,0.0049
50,Finance,82,8468.44,3.96,False,0,False,0.0034
51,Finance,97,8439.91,3.56,False,3,False,0.0063
52,Engineering,48,9255.5,2.97,False,3,False,0.0249
53,Sales,100,8807.59,3.75,False,0,False,0.0044
54,HR,39,5084.42,2.54,False,5,False,0.0556
55,HR,119,7860.59,3.54,False,3,False,0.0057
56,Engineering,61,9600.88,3.82,False,2,False,0.0051
57,HR,89,7483.55,3.05,False,2,False,0.0166
58,Engineering,106,9324.23,3.99,False,1,False,0.0028
59,Finance,96,8527.38,3.8,False,0,False,0.0042
60,Finance,103,8036.26,2.98,False,3,False,0.0171
61,Operations,65,6527.58,3.58,False,3,False,0.0076
62,Finance,6,6794.51,3.1,False,3,False,0.0261
63,Sales,60,7392.46,3.19,False,1,False,0.0156
64,Operations,22,5882.46,2.39,False,2,False,0.0795
65,HR,107,7137.1,2.98,False,3,False,0.0167
66,Sales,29,6834.42,2.63,False,7,False,0.0508
67,Operations,28,5646.14,3.06,False,1,False,0.0243
68,Sales,30,7131.7,2.45,False,4,False,0.0685
69,Engineering,78,11161.94,3.79,False,1,False,0.0048
70,HR,69,6635.79,2.51,False,8,False,0.0484
71,Finance,114,10014.36,3.6,False,3,False,0.0053
72,Engineering,50,9895.9,3.34,False,2,False,0.0128
73,HR,34,6637.68,4.13,False,1,False,0.0035
74,Engineering,6,8142.87,2.17,False,3,False,0.125
75,Finance,1,6366.73,3.42,False,4,False,0.0153
76,HR,45,5579.57,2.96,False,1,False,0.0259
77,Sales,112,8073.29,3.72,False,1,False,0.0043
78,Sales,63,6820.85,3.16,True,0,True,0.9574
79,HR,108,6734.5,3.6,False,5,False,0.0055
80,Finance,13,6813.34,2.72,False,6,False,0.0482
81,Operations,12,5929.44,3.44,False,1,False,0.0138
82,HR,101,7133.23,3.14,False,2,False,0.0131
83,Engineering,13,7916.85,3.45,False,3,False,0.0134
84,Operations,7,6068.05,2.37,False,2,False,0.0901
85,Finance,49,8290.08,3.11,False,2,False,0.0194
86,Finance,111,9384.84,3.09,False,3,False,0.0134
87,Engineering,83,10204.29,3.75,False,2,False,0.005
88,Sales,12,6576.41,3.49,False,4,False,0.0126
89,Finance,101,9374.3,3.52,False,0,False,0.0066
90,Operations,102,6929.52,3.26,False,1,False,0.0105
91,HR,97,6982.65,2.77,False,3,False,0.0258
92,Operations,109,8165.58,3.39,False,2,False,0.0079
93,Operations,29,5720.88,2.0,False,1,False,0.1427
94,Sales,118,9085.93,3.19,False,3,False,0.0107
95,Operations,39,5649.61,2.97,False,4,False,0.0264
96,Sales,97,9325.59,4.19,False,1,False,0.002
97,Sales,70,8523.73,4.7,False,3,False,0.001
98,Finance,94,8863.09,3.18,False,2,False,0.0127
99,Finance,76,8807.18,4.07,False,2,False,0.0029
100,Engineering,78,8556.39,3.47,False,1,False,0.0084
101,Operations,74,6530.16,3.07,False,2,False,0.0176
102,Engineering,94,10871.67,3.86,False,1,False,0.0038
103,Operations,89,6892.91,3.31,False,3,False,0.0104
104,Engineering,17,9056.27,3.06,False,0,False,0.0261
105,Finance,100,10679.68,3.46,False,0,False,0.0074
106,Finance,65,7482.87,2.48,False,3,False,0.0523
107,Finance,39,7050.0,2.2,False,3,False,0.098
108,Finance,62,8333.23,3.56,False,0,False,0.008
109,HR,117,8396.11,3.44,False,3,False,0.0069
110,Finance,103,8381.16,3.19,False,2,False,0.0118
111,Sales,101,8694.84,3.51,False,5,False,0.0068
112,Finance,56,9184.73,3.66,False,2,False,0.007
113,HR,95,6056.93,3.33,False,5,False,0.0097
114,HR,47,5366.39,2.55,False,2,False,0.052
115,HR,83,6501.13,3.82,False,2,False,0.0044
116,HR,77,6329.12,3.94,False,1,False,0.0037
117,Engineering,30,9585.07,3.38,False,2,False,0.0136
118,Engineering,32,9241.95,3.61,False,6,False,0.0089
119,Sales,8,5319.62,3.25,False,7,False,0.0198
120,Engineering,17,8919.89,3.56,False,2,False,0.0108
121,HR,53,5822.14,3.26,False,1,False,0.0145
122,Finance,58,8893.7,3.55,False,4,False,0.0084
123,Finance,20,6688.13,3.09,False,5,False,0.0242
124,HR,51,5753.74,2.39,False,4,False,0.0665
125,Operations,73,7483.44,3.57,False,3,False,0.0073
126,HR,28,5924.11,2.13,False,6,False,0.1171
127,Engineering,41,9702.44,2.82,False,1,False,0.0339
128,Finance,45,6677.89,3.63,False,1,False,0.0079
129,HR,61,6540.75,3.49,False,3,False,0.0091
130,Finance,44,7055.22,3.75,False,1,False,0.0064
131,HR,89,6983.18,3.15,False,4,False,0.0139
132,HR,40,5168.92,2.24,False,3,False,0.0912
133,Engineering,53,10115.39,3.2,False,4,False,0.0161
134,HR,46,5573.85,2.94,False,2,False,0.0266
135,Finance,22,6367.72,2.85,False,4,False,0.0364
136,Sales,83,8536.13,3.94,False,5,False,0.0035
137,Finance,29,7426.26,2.76,False,1,False,0.0406
138,Engineering,36,8748.11,3.28,False,2,False,0.0156
139,Sales,96,9375.19,3.04,False,2,False,0.0161
140,HR,114,7115.02,3.67,False,1,False,0.0047
141,Operations,81,7375.15,3.27,False,3,False,0.0118
142,Sales,110,8938.24,3.21,True,7,True,0.9729
143,Sales,103,8149.91,3.35,False,4,False,0.0089
144,HR,58,6442.33,2.95,False,3,False,0.0242
145,Operations,93,7305.58,3.2,False,2,False,0.0124
146,Operations,40,6205.36,3.79,False,2,False,0.0061
147,Engineering,56,10942.25,3.36,False,3,False,0.0119
148,Sales,65,6990.24,3.01,False,3,False,0.0208
149,Operations,116,6583.59,2.37,False,2,False,0.0457
150,Engineering,102,12869.17,3.42,False,5,False,0.0079
151,Operations,59,8249.54,3.07,False,0,False,0.0195
152,Sales,79,7716.44,2.94,False,3,False,0.0215
153,Operations,25,5131.94,3.41,False,6,False,0.0133
154,Sales,97,8215.73,3.35,False,2,False,0.0092
155,HR,67,6249.38,3.73,False,1,False,0.0057
156,Finance,64,8108.24,3.25,False,1,False,0.0137
157,Engineering,92,10080.95,3.58,False,2,False,0.0063
158,HR,76,6888.57,3.15,False,5,False,0.0151
159,HR,9,5405.17,2.65,False,2,False,0.0557
160,Finance,35,6557.5,3.77,False,4,False,0.0066
161,Operations,22,6340.01,1.65,False,2,False,0.2466
162,Finance,89,10373.64,2.57,False,2,False,0.0384
163,HR,5,5174.38,2.33,False,6,False,0.0973
164,HR,25,5371.85,2.75,False,7,False,0.0424
165,HR,72,6426.16,3.47,False,4,False,0.0088
166,Operations,84,7790.46,3.56,False,1,False,0.0069
167,Sales,61,6483.14,2.87,False,1,False,0.0273
168,Engineering,104,11617.47,4.28,False,3,False,0.0017
169,Sales,111,8500.89,4.06,False,1,False,0.0024
170,Engineering,16,9794.78,3.16,False,4,False,0.022
171,Engineering,115,11668.45,4.33,False,3,False,0.0014
172,Engineering,74,11863.24,3.74,False,7,False,0.0053
173,Finance,77,7827.33,3.0,False,3,False,0.0196
174,Finance,12,7145.64,3.16,False,3,False,0.0226
175,Finance,75,8749.24,3.4,False,4,False,0.0098
176,HR,88,6358.25,3.22,False,4,False,0.0123
177,Finance,70,8514.98,4.03,False,2,False,0.0033
178,Engineering,11,9178.25,1.76,False,6,False,0.2242
179,Operations,63,6763.88,2.39,False,4,False,0.0617
180,HR,113,6358.73,2.78,False,6,False,0.0228
181,Operations,87,7483.22,3.13,False,2,False,0.0146
182,Engineering,17,7948.21,2.79,False,5,False,0.0417
183,HR,116,7213.54,2.72,False,4,False,0.0249
184,Finance,116,9578.74,3.18,False,3,False,0.011
185,HR,21,4695.54,2.23,False,3,False,0.104
186,HR,97,6113.37,4.49,False,1,False,0.0012
187,Engineering,49,10004.85,4.19,False,3,False,0.0028
188,Sales,72,7473.82,3.01,False,3,False,0.0199
189,Sales,54,5841.93,2.78,False,3,False,0.0334
190,Sales,94,8874.28,2.9,False,3,False,0.0209
191,Finance,120,9962.45,2.78,False,3,False,0.0218
192,Finance,96,8580.3,3.4,False,1,False,0.0085
193,Finance,112,8529.03,3.06,True,3,True,0.902
194,Sales,114,9441.75,3.61,False,2,False,0.0052
195,Operations,11,5912.84,1.9,False,1,False,0.1834
196,Engineering,31,10755.16,2.86,False,3,False,0.0337
197,Sales,87,8449.8,3.47,False,8,False,0.008
198,Engineering,71,10688.2,3.67,False,1,False,0.0062
199,Sales,7,6092.54,2.9,False,5,False,0.0367
200,Operations,12,6152.35,2.07,True,4,False,0.1411
201,Sales,63,7953.8,3.63,False,2,False,0.007
202,Operations,74,7916.41,2.87,False,1,False,0.0251
203,HR,21,5210.72,3.02,False,2,False,0.0272
204,Finance,21,6822.53,2.84,False,5,False,0.0373
205,HR,16,5128.92,1.98,True,6,False,0.1583
206,Sales,68,8187.13,3.1,False,5,False,0.0174
207,Finance,1,7309.48,2.94,False,2,False,0.0356
208,Operations,69,6821.32,3.45,False,2,False,0.0093
209,Sales,58,7196.83,3.04,False,1,False,0.0207
210,Finance,56,8218.09,3.95,False,2,False,0.0041
211,Sales,82,7891.73,3.82,False,0,False,0.0044
212,Finance,63,8831.27,3.15,False,3,False,0.0165
213,Finance,88,7283.07,3.68,False,3,False,0.0054
214,HR,92,6459.22,4.22,False,4,False,0.002
215,Finance,111,8911.22,4.56,False,2,False,0.001
216,Sales,96,6840.72,2.7,False,6,False,0.0293
217,Engineering,63,9321.38,2.86,False,1,False,0.0274
218,Engineering,60,9267.88,4.04,False,3,False,0.0034
219,HR,29,5514.0,2.25,False,3,False,0.0959
220,Operations,72,7786.62,2.58,False,5,False,0.0421
221,Engineering,17,8398.72,2.71,False,6,False,0.0478
222,HR,112,6728.59,3.61,False,2,False,0.0052
223,Finance,102,9220.3,3.5,False,1,False,0.0068
224,Sales,15,6910.08,2.49,True,3,True,0.8394
225,Finance,95,8364.53,3.1,False,2,False,0.0146
226,Sales,15,5910.61,2.37,False,2,False,0.0858
227,Operations,87,7828.6,2.9,False,3,False,0.0219
228,HR,11,5136.49,3.78,False,1,False,0.0076
229,HR,59,6551.83,3.21,False,3,False,0.0152
230,Engineering,79,10621.72,3.97,False,0,False,0.0034
231,HR,88,7216.91,3.05,False,2,False,0.0167
232,Operations,51,6116.54,2.88,False,5,False,0.0286
233,Engineering,111,11688.69,3.46,False,3,False,0.0069
234,Finance,93,8866.74,2.14,False,4,False,0.0778
235,HR,25,4983.81,2.02,True,5,True,0.9114
236,Finance,81,7606.35,2.38,False,3,False,0.056
237,Finance,88,9370.67,2.35,False,3,False,0.0564
238,HR,41,5689.8,2.27,False,2,False,0.0863
239,Sales,89,7552.34,3.99,False,1,False,0.0031
240,Finance,108,9352.48,3.58,False,0,False,0.0057
241,Engineering,99,12319.73,4.45,False,3,False,0.0013
242,HR,92,5654.66,3.39,False,3,False,0.0089
243,Engineering,77,9301.51,3.8,False,3,False,0.0047
244,Finance,33,6847.86,2.47,False,1,False,0.065
245,Finance,96,10163.74,3.86,False,0,False,0.0037
246,Engineering,44,9680.68,3.6,False,3,False,0.0084
247,Finance,64,8738.74,2.99,False,2,False,0.0217
248,HR,38,5263.39,3.1,False,5,False,0.0212
249,Finance,38,6854.83,3.24,False,3,False,0.0165
250,Engineering,19,8942.62,2.74,False,0,False,0.0448
251,Engineering,116,11921.99,3.31,False,4,False,0.0087
252,HR,18,5610.96,2.13,False,4,False,0.1241
253,Engineering,11,8241.05,2.95,True,3,True,0.9754
254,Sales,113,9021.37,3.77,False,2,False,0.0039
255,Finance,67,8419.76,2.87,False,6,False,0.0263
256,Engineering,53,10374.36,3.36,False,1,False,0.0121
257,Finance,89,9485.68,3.78,False,0,False,0.0045
258,Engineering,46,8297.91,3.43,True,1,True,0.8501
259,Engineering,16,6999.2,3.6,False,1,False,0.0101
260,HR,88,7380.95,3.95,False,3,False,0.0033
261,Finance,22,7770.07,2.43,False,4,False,0.0744
262,Engineering,67,9397.78,4.19,False,1,False,0.0025
263,Sales,114,7533.24,3.22,False,4,False,0.0104
264,Operations,113,8153.68,4.05,False,2,False,0.0024
265,Operations,44,6992.99,3.04,False,2,False,0.0226
266,HR,94,7958.99,3.19,False,6,False,0.0125
267,HR,74,6811.86,2.27,False,3,False,0.0705
268,Sales,58,7228.46,3.02,True,3,True,0.8944
269,Finance,17,6463.09,2.01,True,5,False,0.1504
270,HR,46,5963.79,3.41,False,1,False,0.0116
271,Sales,79,7784.07,4.05,False,3,False,0.003
272,Engineering,119,10994.91,3.41,False,2,False,0.0072
273,Engineering,1,9350.0,3.09,False,8,False,0.0274
274,Operations,87,8563.96,3.04,False,3,False,0.0171
275,HR,102,7772.55,3.12,False,3,False,0.0134
276,HR,115,6851.0,3.82,True,1,True,0.8969
277,HR,51,6477.18,2.98,False,4,False,0.024
278,Finance,15,7259.64,3.71,False,2,False,0.0083
279,Engineering,33,9422.17,2.9,False,2,False,0.0311
280,Engineering,103,12576.36,4.35,False,5,False,0.0015
281,Sales,106,9089.68,3.62,False,3,False,0.0054
282,HR,77,6995.14,3.61,False,1,False,0.0066
283,Finance,15,7258.14,2.62,False,4,False,0.0565
284,HR,15,5457.34,2.66,False,7,False,0.0527
285,HR,58,5322.47,2.89,False,1,False,0.0269
286,Operations,71,7174.76,2.77,False,3,False,0.0305
287,Engineering,4,7771.44,3.15,False,6,False,0.0242
288,HR,83,6040.19,3.49,False,2,False,0.0079
289,HR,66,7232.73,3.46,False,4,False,0.0093
290,HR,2,5739.03,3.4,False,2,False,0.0158
291,Operations,12,6402.96,3.48,False,1,False,0.0128
292,Sales,55,7525.58,2.93,False,2,False,0.0256
293,Operations,87,8303.45,3.57,False,2,False,0.0067
294,Sales,100,8508.2,3.17,False,4,False,0.0125
295,HR,52,6182.03,2.99,False,0,False,0.0235
296,HR,36,5247.0,2.5,False,3,False,0.0607
297,Operations,117,8441.08,4.39,False,2,False,0.0013
298,HR,56,6196.46,3.19,False,2,False,0.0161
299,Sales,38,6225.73,2.79,False,6,False,0.0364
300,Engineering,54,9759.86,3.9,False,2,False,0.0046
301,Sales,2,6011.41,1.57,False,2,False,0.3017
302,Operations,37,7260.78,1.97,False,2,False,0.1427
303,Engineering,62,10786.81,3.84,False,3,False,0.0048
304,Operations,111,8051.12,3.54,False,2,False,0.006
305,HR,89,6990.59,3.41,False,1,False,0.0087
306,Engineering,94,11172.71,3.01,False,6,False,0.0172
307,Sales,66,7525.82,3.17,False,2,False,0.0156
308,HR,14,4833.44,3.63,False,3,False,0.0097
309,Sales,47,7088.3,3.44,False,1,False,0.0109
310,Engineering,120,11283.75,3.93,False,0,False,0.0028
311,Finance,6,5996.08,2.46,False,3,False,0.0781
312,Finance,106,9754.08,3.43,False,1,False,0.0075
313,Engineering,83,11103.68,2.53,False,5,False,0.0428
314,Sales,35,5892.31,2.98,False,7,False,0.0267
315,Sales,94,8268.05,3.85,False,0,False,0.0038
316,Finance,101,9971.07,2.82,True,1,False,0.023
317,Finance,6,7227.07,2.45,False,2,False,0.0794
318,Finance,13,7414.41,2.26,False,4,False,0.1039
319,Operations,80,7356.16,2.77,False,0,False,0.0288
320,Finance,120,9090.86,3.68,False,1,False,0.0044
321,Sales,3,5548.32,1.58,False,6,False,0.2965
322,Engineering,80,10960.73,3.87,False,2,False,0.0041
323,Finance,17,7171.61,3.22,False,1,False,0.0197
324,Operations,79,8063.29,3.19,False,1,False,0.0138
325,Operations,75,7853.99,2.03,False,3,False,0.104
326,Sales,11,6208.62,2.23,False,5,False,0.1103
327,Sales,82,7248.73,3.88,False,0,False,0.0039
328,Engineering,108,11303.87,2.38,False,7,False,0.0472
329,Engineering,104,11665.94,3.6,False,1,False,0.0056
330,HR,4,5001.15,1.99,False,3,False,0.1668
331,HR,30,5364.95,3.18,False,0,False,0.0194
332,Sales,29,6861.05,2.56,False,2,False,0.0573
333,Sales,55,7077.66,3.28,False,2,False,0.0138
334,Operations,18,5615.42,3.0,False,3,False,0.0287
335,HR,103,7323.88,4.32,False,4,False,0.0016
336,Operations,94,7408.01,3.25,False,4,False,0.0112
337,Operations,98,7897.1,3.6,False,1,False,0.0059
338,Sales,24,6744.25,2.11,False,2,False,0.1237
339,Sales,2,5498.52,3.21,False,3,False,0.0221
340,Operations,110,7712.04,3.1,True,4,True,0.8068
341,Finance,35,8304.59,2.78,False,5,False,0.0378
342,Sales,79,7233.59,3.23,False,4,False,0.0129
343,Finance,110,7874.04,2.71,False,1,False,0.0263
344,HR,5,4343.91,2.65,False,0,False,0.0571
345,Operations,1,5535.78,3.09,False,1,False,0.0274
346,Sales,1,6039.9,2.8,False,5,False,0.0454
347,Operations,19,5879.57,1.96,False,2,False,0.1605
348,Operations,7,6210.24,2.64,False,1,False,0.0574
349,Engineering,99,8883.76,3.88,False,5,False,0.0035
350,Engineering,73,10763.81,2.57,False,4,False,0.0426
351,HR,118,8389.99,3.05,False,0,False,0.0137
352,Engineering,97,10219.83,4.05,False,1,False,0.0026
353,Sales,116,8629.58,3.73,False,3,False,0.0041
354,HR,29,5266.62,2.97,False,3,False,0.0282
355,Operations,35,5851.18,3.78,False,0,False,0.0064
356,Operations,102,7632.93,3.65,False,5,False,0.0052
357,Engineering,30,10027.79,3.5,False,0,False,0.011
358,Operations,7,6492.45,4.08,False,0,False,0.0045
359,Engineering,81,10412.44,3.42,False,0,False,0.009
360,Finance,97,10518.09,3.24,False,2,False,0.0112
361,Operations,117,8204.53,3.78,False,4,False,0.0037
362,Operations,112,9198.38,3.83,False,3,False,0.0035
363,Sales,15,6327.42,2.5,False,3,False,0.0691
364,Operations,93,7711.26,2.85,False,2,False,0.023
365,Engineering,102,11733.31,4.92,False,1,False,0.0005
366,HR,84,8466.58,3.54,False,2,False,0.0072
367,HR,99,7543.48,3.03,False,6,False,0.0161
368,Sales,101,8042.65,3.91,False,2,False,0.0033
369,Engineering,54,10559.69,3.31,False,3,False,0.0132
370,Finance,5,6443.34,2.58,False,2,False,0.0643
371,Sales,55,7086.05,3.36,False,2,False,0.012
372,Finance,25,7698.77,2.3,False,3,False,0.0906
373,HR,14,5304.83,2.85,True,6,False,0.0383
374,Sales,15,6517.07,3.74,False,1,False,0.0079
375,Operations,84,7433.31,3.52,False,2,False,0.0074
376,Engineering,61,10303.5,3.2,False,0,False,0.0153
377,Finance,65,8541.25,3.01,False,2,False,0.0208
378,Finance,90,7552.57,3.13,False,1,False,0.0143
379,Sales,66,8057.94,3.1,False,5,False,0.0176
380,Sales,76,7279.36,3.04,False,1,False,0.0184
381,Engineering,11,7401.29,3.29,False,6,False,0.0181
382,Operations,103,7823.69,2.57,False,2,False,0.0351
383,Operations,54,6782.77,3.48,False,1,False,0.0097
384,Sales,19,6115.76,2.58,False,2,False,0.0589
385,Engineering,98,12015.7,3.96,False,0,False,0.0031
386,Engineering,89,9789.13,2.96,False,5,False,0.0194
387,Engineering,7,7965.29,3.52,False,3,False,0.0123
388,Operations,24,5766.92,3.39,False,0,False,0.0139
389,Operations,2,5525.16,3.09,False,4,False,0.0272
390,Engineering,33,9303.01,2.37,True,3,False,0.0768
391,Finance,12,6274.69,3.15,False,4,False,0.023
392,Engineering,86,11496.31,3.85,False,3,False,0.0041
393,Sales,63,7613.18,2.37,False,7,False,0.0638
394,HR,118,6329.47,3.4,False,6,False,0.0073
395,Finance,90,7537.11,3.52,False,2,False,0.0071
396,Operations,74,7188.74,3.48,False,1,False,0.0085
397,Engineering,62,9888.71,3.45,False,2,False,0.0097
398,Engineering,7,8165.21,3.02,False,6,False,0.0298
399,Sales,9,6211.06,3.45,False,0,False,0.0138
400,Sales,74,7991.65,3.89,False,4,False,0.0041
401,Operations,1,5941.62,1.21,True,10,False,0.454
402,Finance,6,6070.28,2.53,False,4,False,0.0695
403,Sales,27,6049.17,2.73,True,2,True,0.8651
404,Operations,107,7256.55,2.54,True,3,True,0.8657
405,HR,56,6309.2,3.07,False,0,False,0.0199
406,HR,86,7468.09,3.93,False,1,False,0.0035
407,HR,50,5833.19,2.4,False,4,False,0.0658
408,Engineering,21,6958.82,3.02,True,4,False,0.0272
409,Operations,45,5640.91,2.43,False,4,False,0.0645
410,Engineering,12,7840.2,2.54,False,5,False,0.0659
411,Engineering,93,10604.74,4.36,False,4,False,0.0015
412,Sales,23,6360.19,2.54,False,7,False,0.0615
413,Sales,46,7172.07,3.26,False,3,False,0.0151
414,Engineering,118,11635.72,2.93,False,2,False,0.0169
415,Engineering,72,11273.05,4.47,False,2,False,0.0015
416,Finance,56,7583.11,3.43,False,1,False,0.0105
417,Operations,66,6528.74,3.01,False,7,False,0.0207
418,Engineering,95,11594.46,4.0,False,3,False,0.0029
419,Sales,31,5942.68,2.13,True,2,False,0.115
420,HR,77,6810.05,3.78,False,5,False,0.0049
421,Operations,105,7971.11,3.3,False,1,False,0.0096
422,Finance,69,8270.04,3.16,False,2,False,0.0156
423,Finance,54,8974.23,2.99,False,1,False,0.0232
424,HR,18,5107.45,2.39,False,3,False,0.0815
425,HR,30,6552.13,3.22,False,5,False,0.0181
426,Engineering,114,11587.19,3.96,False,3,False,0.0028
427,Operations,65,6275.52,3.4,False,6,False,0.0104
428,Operations,37,6383.42,2.9,True,1,False,0.0303
429,Engineering,51,8864.83,3.46,False,4,False,0.0103
430,Finance,70,7890.9,3.03,True,4,True,0.9064
431,Engineering,65,10489.59,4.55,True,0,True,0.901
432,Finance,84,9165.02,2.65,False,2,False,0.0346
433,Operations,31,5901.3,3.46,False,3,False,0.0117
434,Engineering,78,11437.32,4.28,False,2,False,0.002
435,HR,54,6692.18,2.61,False,2,False,0.0449
436,Engineering,113,13118.71,5.0,False,0,False,0.0004
437,HR,19,5624.36,3.23,False,2,False,0.0191
438,Operations,18,6557.4,3.29,False,0,False,0.0173
439,Engineering,56,8382.09,3.21,False,4,False,0.0155
440,Sales,62,7357.98,3.04,False,2,False,0.0201
441,Operations,83,6888.67,3.13,False,3,False,0.015
442,Sales,49,7293.91,3.25,False,4,False,0.0151
443,Engineering,110,11133.31,4.47,False,1,False,0.0011
444,HR,57,6105.25,3.1,False,0,False,0.0187
445,HR,16,6136.39,2.3,True,4,False,0.0956
446,Finance,15,6812.48,3.22,False,1,False,0.0199
447,Sales,117,9220.45,4.11,False,3,False,0.0021
448,Operations,17,5780.15,3.06,False,2,False,0.0261
449,HR,114,7419.67,3.85,False,2,False,0.0034
450,Sales,34,6853.3,2.79,False,1,False,0.0374
451,Operations,12,5982.13,2.25,False,5,False,0.1062
452,Operations,37,6939.7,2.52,False,3,False,0.0583
453,HR,74,7403.8,2.41,False,12,False,0.0557
454,Engineering,52,9974.42,3.42,False,5,False,0.011
455,HR,95,7308.33,3.31,False,6,False,0.01
456,HR,74,5939.38,2.88,False,5,False,0.0247
457,Engineering,49,9565.61,1.77,False,3,False,0.1805
458,Finance,77,9231.24,2.78,False,4,False,0.0288
459,Operations,117,8748.03,4.17,False,0,False,0.0019
460,Engineering,50,9830.31,2.95,False,4,False,0.0255
461,Finance,19,7512.0,3.07,False,3,False,0.0253
462,Engineering,50,10046.19,2.6,False,2,False,0.0468
463,Finance,101,10122.24,4.34,False,1,False,0.0015
464,HR,27,5691.26,2.71,False,7,False,0.0449
465,Engineering,114,11464.22,3.97,False,4,False,0.0027
466,Operations,71,7318.57,4.36,False,2,False,0.0018
467,Engineering,73,7987.26,4.03,False,3,False,0.0032
468,HR,39,5990.54,2.73,False,4,False,0.0402
469,Engineering,111,8285.09,3.23,False,2,False,0.0104
470,Operations,5,4840.46,2.41,False,5,False,0.0854
471,Finance,36,7745.16,3.27,False,1,False,0.0159
472,Operations,51,6923.51,2.99,False,2,False,0.0236
473,HR,58,5630.99,2.77,False,0,False,0.0332
474,HR,57,5835.01,3.72,False,2,False,0.0062
475,Finance,18,7753.63,2.85,False,4,False,0.0373
476,Finance,28,6977.27,4.05,False,0,False,0.0042
477,Operations,12,6811.23,2.83,False,3,False,0.0402
478,Engineering,69,10298.42,4.33,False,4,False,0.0019
479,Finance,43,7914.78,3.25,False,0,False,0.0157
480,Engineering,68,11594.66,4.03,False,2,False,0.0033
481,Sales,71,7856.5,2.88,False,5,False,0.0252
482,Operations,85,6850.69,2.82,False,3,False,0.0255
483,Sales,66,7582.85,3.42,False,0,False,0.01
484,Finance,78,8587.96,3.84,False,3,False,0.0044
485,HR,71,5771.78,3.09,False,6,False,0.0174
486,Sales,79,7811.78,2.65,False,2,False,0.0357
487,Sales,74,7383.9,2.54,False,3,False,0.0446
488,HR,38,6219.95,2.18,False,3,False,0.1018
489,Finance,30,7332.75,2.06,False,1,False,0.1292
490,Finance,95,8867.65,3.54,False,3,False,0.0067
491,Operations,42,6407.6,3.5,False,3,False,0.0102
492,Operations,66,7137.67,3.14,False,2,False,0.0164
493,Finance,24,7502.82,1.79,False,3,False,0.2007
494,Finance,52,7275.85,2.98,False,1,False,0.0239
495,Sales,64,6966.71,3.04,False,6,False,0.0199
496,HR,76,7165.13,4.26,False,4,False,0.0021
497,Engineering,64,9799.07,2.64,True,5,False,0.04
