date,sla_compliance_pct,ticket_volume,avg_resolution_hours,system_uptime_pct,efficiency_score,anomaly_flag
2024-10-01,94.43,171,4.94,100.0,92.84,False
2024-10-02,66.47,308,8.23,87.377,73.14,True
2024-10-03,96.26,164,7.7,100.0,90.13,False
2024-10-04,97.15,162,2.28,99.819,97.2,False
2024-10-05,97.24,63,3.15,99.694,96.1,False
2024-10-06,95.54,66,5.13,99.857,93.0,False
2024-10-07,95.07,157,3.63,99.955,94.72,False
2024-10-08,96.99,134,2.02,99.801,97.45,False
2024-10-09,97.52,131,4.34,100.0,94.83,False
2024-10-10,96.7,162,4.71,99.783,93.96,False
2024-10-11,93.59,161,3.69,100.0,94.07,False
2024-10-12,95.3,77,3.94,99.988,94.44,False
2024-10-13,95.66,62,3.1,99.888,95.6,False
2024-10-14,92.29,154,7.39,99.812,88.86,False
2024-10-15,95.7,152,2.25,99.93,96.69,False
2024-10-16,98.41,149,2.63,100.0,97.32,False
2024-10-17,95.96,160,3.55,100.0,95.2,False
2024-10-18,97.21,150,5.48,100.0,93.29,False
2024-10-19,95.27,74,1.67,100.0,97.27,False
2024-10-20,94.89,49,1.83,100.0,96.91,False
2024-10-21,95.57,156,1.27,100.0,97.89,False
2024-10-22,93.78,160,3.59,99.997,94.27,False
2024-10-23,93.55,144,2.02,100.0,96.15,False
2024-10-24,96.9,160,2.91,99.698,96.26,False
2024-10-25,97.06,145,4.91,99.811,93.87,False
2024-10-26,93.51,51,2.56,99.799,95.38,False
2024-10-27,96.45,75,3.96,100.0,94.88,False
2024-10-28,94.87,146,3.04,99.865,95.35,False
2024-10-29,95.51,152,4.94,99.928,93.25,False
2024-10-30,95.69,161,4.48,100.0,93.93,False
2024-10-31,96.49,146,2.5,100.0,96.72,False
2024-11-01,95.12,133,3.24,99.868,95.2,False
2024-11-02,97.12,63,5.95,99.766,92.58,False
2024-11-03,95.46,62,4.3,100.0,94.06,False
2024-11-04,95.94,163,1.76,100.0,97.43,False
2024-11-05,93.75,148,4.9,99.579,92.48,False
2024-11-06,98.24,143,2.05,99.837,97.92,False
2024-11-07,95.7,161,7.15,99.933,90.57,False
2024-11-08,96.07,142,5.89,100.0,92.31,False
2024-11-09,92.59,64,4.08,100.0,93.18,False
2024-11-10,93.77,50,3.82,99.957,93.97,False
2024-11-11,96.86,156,3.18,100.0,96.02,False
2024-11-12,95.43,154,4.96,99.913,93.2,False
2024-11-13,92.13,140,2.93,99.765,94.35,False
2024-11-14,96.56,172,3.97,99.848,94.86,False
2024-11-15,94.18,157,5.46,99.904,92.07,False
2024-11-16,97.12,40,2.67,99.893,96.73,False
2024-11-17,94.87,50,2.59,99.523,95.79,False
2024-11-18,95.31,159,1.94,99.821,96.88,False
2024-11-19,96.77,165,2.07,99.911,97.33,False
2024-11-20,93.65,159,1.41,99.844,96.89,False
2024-11-21,93.51,141,5.08,99.851,92.25,False
2024-11-22,94.71,124,8.72,99.998,88.23,False
2024-11-23,96.24,65,7.2,99.684,90.64,False
2024-11-24,93.0,48,1.57,99.574,96.35,False
2024-11-25,92.5,161,5.07,99.83,91.85,False
2024-11-26,96.24,152,7.19,100.0,90.76,False
2024-11-27,94.1,176,2.81,100.0,95.38,False
2024-11-28,94.41,153,3.71,100.0,94.37,False
2024-11-29,92.21,155,1.29,99.606,96.38,False
2024-11-30,93.98,51,4.03,99.854,93.75,False
2024-12-01,94.99,58,2.07,99.951,96.64,False
2024-12-02,96.4,133,3.9,99.936,94.91,False
2024-12-03,93.84,142,1.62,100.0,96.77,False
2024-12-04,97.49,147,4.63,99.717,94.36,False
2024-12-05,93.97,155,5.89,99.913,91.44,False
2024-12-06,93.98,147,2.39,99.984,95.85,False
2024-12-07,97.31,62,2.0,100.0,97.67,False
2024-12-08,95.32,59,1.2,99.739,97.78,False
2024-12-09,94.17,152,3.09,99.831,95.0,False
2024-12-10,94.77,157,2.64,99.359,95.63,False
2024-12-11,97.03,155,1.63,99.776,97.95,False
2024-12-12,97.2,161,4.43,99.795,94.52,False
2024-12-13,93.77,148,2.82,99.696,95.13,False
2024-12-14,94.94,57,2.06,99.933,96.62,False
2024-12-15,95.14,73,2.68,99.889,95.92,False
2024-12-16,93.52,151,6.03,99.448,90.93,False
2024-12-17,94.92,143,4.77,99.943,93.23,False
2024-12-18,95.01,150,3.31,99.714,95.02,False
2024-12-19,96.71,128,4.81,99.997,93.92,False
2024-12-20,96.81,124,1.98,99.644,97.38,False
2024-12-21,94.51,56,3.59,99.906,94.54,False
2024-12-22,94.68,56,3.8,99.843,94.32,False
2024-12-23,96.0,165,2.79,99.961,96.15,False
2024-12-24,94.12,136,4.39,99.925,93.39,False
2024-12-25,95.88,133,2.39,99.849,96.56,False
2024-12-26,94.87,160,4.55,99.593,93.36,False
2024-12-27,93.55,157,4.65,99.605,92.72,False
2024-12-28,93.56,57,0.82,99.783,97.35,False
2024-12-29,97.17,60,6.4,99.898,92.08,False
2024-12-30,94.77,136,0.77,99.778,97.83,False
2024-12-31,97.46,135,2.59,100.0,96.99,False
2025-01-01,94.23,146,5.89,99.844,91.52,False
2025-01-02,95.44,160,3.01,99.707,95.56,False
2025-01-03,98.59,149,1.7,99.844,98.51,False
2025-01-04,93.41,52,2.04,99.945,96.04,False
2025-01-05,92.15,41,5.9,99.965,90.73,False
2025-01-06,75.07,386,22.79,86.353,60.25,True
2025-01-07,93.76,153,6.21,99.766,90.91,False
2025-01-08,94.97,129,3.43,99.885,94.9,False
2025-01-09,94.12,164,1.94,99.985,96.46,False
2025-01-10,95.4,155,2.64,99.895,96.08,False
2025-01-11,93.57,66,2.12,99.8,95.96,False
2025-01-12,75.78,191,19.12,87.813,63.39,True
2025-01-13,95.67,144,5.09,99.798,93.09,False
2025-01-14,93.49,149,1.49,99.685,96.67,False
2025-01-15,93.95,165,2.88,99.555,95.07,False
2025-01-16,94.48,170,2.29,99.741,96.09,False
2025-01-17,92.86,165,6.74,99.691,89.86,False
2025-01-18,94.37,60,1.8,100.0,96.75,False
2025-01-19,95.18,48,7.87,100.0,89.48,False
2025-01-20,94.4,171,3.47,99.719,94.57,False
2025-01-21,94.59,137,1.97,99.848,96.57,False
2025-01-22,94.97,138,2.52,99.528,95.93,False
2025-01-23,94.02,172,2.36,99.801,95.83,False
2025-01-24,96.04,143,1.87,99.98,97.32,False
2025-01-25,97.15,65,3.7,100.0,95.48,False
2025-01-26,94.3,59,1.91,99.757,96.5,False
2025-01-27,95.73,169,1.19,100.0,98.06,False
2025-01-28,94.64,166,2.92,99.597,95.32,False
2025-01-29,95.55,159,1.43,99.65,97.56,False
2025-01-30,97.35,152,2.42,100.0,97.16,False
2025-01-31,95.76,142,2.24,100.0,96.75,False
2025-02-01,92.34,66,2.28,99.999,95.33,False
2025-02-02,95.68,49,9.6,99.892,87.48,False
2025-02-03,96.85,161,3.63,99.461,95.26,False
2025-02-04,94.67,161,3.99,99.496,93.95,False
2025-02-05,96.49,152,1.45,99.926,98.01,False
2025-02-06,93.96,172,2.55,99.828,95.59,False
2025-02-07,92.77,122,3.93,99.679,93.33,False
2025-02-08,95.21,64,2.11,99.913,96.66,False
2025-02-09,92.37,66,5.56,99.923,91.22,False
2025-02-10,94.64,122,1.93,100.0,96.69,False
2025-02-11,96.93,154,3.06,99.927,96.17,False
2025-02-12,92.14,156,2.63,100.0,94.81,False
2025-02-13,93.08,146,3.83,99.902,93.66,False
2025-02-14,93.45,156,2.56,99.877,95.38,False
2025-02-15,94.91,69,3.08,100.0,95.36,False
2025-02-16,94.45,69,3.14,99.704,95.01,False
2025-02-17,97.1,153,2.45,100.0,97.03,False
2025-02-18,96.43,142,4.5,99.975,94.19,False
2025-02-19,95.74,138,3.98,99.976,94.57,False
2025-02-20,95.22,144,3.38,100.0,95.12,False
2025-02-21,95.59,142,2.85,100.0,95.93,False
2025-02-22,93.71,50,5.26,100.0,92.16,False
2025-02-23,96.29,62,3.14,99.579,95.7,False
2025-02-24,93.33,170,3.03,100.0,94.8,False
2025-02-25,96.25,134,3.72,99.832,95.04,False
2025-02-26,96.78,127,8.24,99.921,89.63,False
2025-02-27,95.32,155,1.81,99.644,96.99,False
2025-02-28,94.74,147,5.19,100.0,92.66,False
2025-03-01,95.6,66,1.37,99.77,97.7,False
2025-03-02,90.71,55,3.94,99.92,92.59,False
2025-03-03,95.45,140,7.76,99.843,89.68,False
2025-03-04,94.83,170,4.51,100.0,93.55,False
2025-03-05,94.92,159,3.84,100.0,94.41,False
2025-03-06,96.06,155,2.67,99.909,96.31,False
2025-03-07,94.89,140,3.59,99.913,94.69,False
2025-03-08,93.29,51,3.11,99.825,94.61,False
2025-03-09,94.79,55,2.38,100.0,96.19,False
2025-03-10,60.86,382,16.77,90.651,61.36,True
2025-03-11,95.17,148,3.9,99.816,94.38,False
2025-03-12,95.24,161,2.41,100.0,96.34,False
2025-03-13,96.56,152,2.36,99.792,96.85,False
2025-03-14,93.37,155,1.79,99.892,96.33,False
2025-03-15,95.26,60,4.29,99.584,93.85,False
2025-03-16,96.93,48,4.64,100.0,94.23,False
2025-03-17,92.4,140,3.96,100.0,93.25,False
2025-03-18,76.94,394,21.14,88.788,61.85,True
2025-03-19,94.12,143,3.69,100.0,94.29,False
2025-03-20,94.44,132,4.29,99.731,93.57,False
2025-03-21,93.64,125,4.11,99.947,93.55,False
2025-03-22,94.75,53,3.37,99.711,94.83,False
2025-03-23,97.76,58,2.71,99.854,96.92,False
2025-03-24,93.1,165,10.68,100.0,85.14,False
2025-03-25,93.25,150,2.82,99.92,95.0,False
2025-03-26,93.05,144,2.53,99.617,95.17,False
2025-03-27,97.59,161,4.39,99.637,94.68,False
2025-03-28,94.31,141,4.0,99.624,93.84,False
2025-03-29,94.96,54,1.75,99.998,97.05,False
2025-03-30,94.4,64,6.19,100.0,91.27,False
2025-03-31,93.58,144,3.37,100.0,94.47,False
2025-04-01,94.65,122,2.03,99.521,96.41,False
2025-04-02,98.69,158,6.4,100.0,92.73,False
2025-04-03,97.09,121,4.83,100.0,94.05,False
2025-04-04,93.72,171,1.88,99.591,96.25,False
2025-04-05,95.97,52,8.58,99.839,88.85,False
2025-04-06,93.75,49,4.91,100.0,92.62,False
2025-04-07,92.34,140,3.51,100.0,93.79,False
2025-04-08,96.53,153,7.82,99.638,89.96,False
2025-04-09,96.74,154,3.82,100.0,95.17,False
2025-04-10,96.57,160,3.48,99.472,95.34,False
2025-04-11,94.3,141,2.54,99.855,95.75,False
2025-04-12,94.75,59,4.72,100.0,93.25,False
2025-04-13,96.12,68,4.48,99.904,94.07,False
2025-04-14,95.59,162,3.56,99.8,94.97,False
2025-04-15,94.41,139,2.38,100.0,96.04,False
2025-04-16,92.57,143,3.77,100.0,93.57,False
2025-04-17,95.17,158,3.41,100.0,95.06,False
2025-04-18,96.62,159,1.81,100.0,97.63,False
2025-04-19,93.2,71,1.69,100.0,96.42,False
2025-04-20,95.96,50,4.68,100.0,93.78,False
2025-04-21,95.5,157,0.96,99.953,98.18,False
2025-04-22,96.13,134,3.91,99.918,94.78,False
2025-04-23,96.31,167,2.78,99.853,96.25,False
2025-04-24,93.96,154,6.79,99.658,90.23,False
2025-04-25,92.57,123,2.76,99.709,94.73,False
2025-04-26,94.2,55,4.91,99.844,92.74,False
2025-04-27,96.33,69,2.89,99.948,96.15,False
2025-04-28,94.19,153,3.74,100.0,94.25,False
2025-04-29,93.96,166,5.1,99.892,92.42,False
2025-04-30,92.27,154,2.8,100.0,94.66,False
2025-05-01,97.63,146,5.81,100.0,93.04,False
2025-05-02,96.24,158,2.15,99.854,97.01,False
2025-05-03,69.06,178,10.89,88.397,71.21,True
2025-05-04,96.45,60,5.6,99.851,92.78,False
2025-05-05,95.87,131,4.91,100.0,93.46,False
2025-05-06,94.63,146,9.2,100.0,87.6,False
2025-05-07,94.75,137,2.41,99.662,96.02,False
2025-05-08,94.36,139,1.77,99.932,96.76,False
2025-05-09,98.95,159,2.15,100.0,98.15,False
2025-05-10,95.83,57,4.91,99.864,93.4,False
2025-05-11,94.3,66,4.53,99.99,93.31,False
2025-05-12,95.7,161,3.72,100.0,94.89,False
2025-05-13,93.48,132,2.01,99.693,96.02,False
2025-05-14,97.26,166,5.18,100.0,93.68,False
2025-05-15,94.01,131,1.91,99.621,96.33,False
2025-05-16,95.75,159,6.3,99.775,91.6,False
2025-05-17,96.6,65,14.73,100.0,81.47,False
2025-05-18,95.58,58,4.24,99.971,94.17,False
2025-05-19,95.14,154,4.72,99.839,93.34,False
2025-05-20,95.02,147,2.76,99.989,95.8,False
2025-05-21,94.92,174,1.43,99.888,97.39,False
2025-05-22,94.13,138,2.61,99.903,95.61,False
2025-05-23,94.33,146,2.04,100.0,96.43,False
2025-05-24,97.22,51,1.71,99.755,97.91,False
2025-05-25,94.84,54,8.35,99.908,88.71,False
2025-05-26,69.06,331,19.54,85.877,59.5,True
2025-05-27,94.23,137,4.27,99.583,93.46,False
2025-05-28,96.65,149,3.02,99.716,96.03,False
2025-05-29,96.01,121,3.24,100.0,95.61,False
2025-05-30,95.84,150,5.72,99.977,92.43,False
2025-05-31,94.61,54,3.47,99.635,94.63,False
2025-06-01,95.86,66,4.6,99.592,93.7,False
2025-06-02,94.03,128,3.2,99.878,94.82,False
2025-06-03,94.61,143,2.97,100.0,95.38,False
2025-06-04,96.45,131,1.75,99.863,97.6,False
2025-06-05,96.31,154,1.31,100.0,98.13,False
2025-06-06,93.53,136,3.1,99.97,94.78,False
2025-06-07,93.72,51,3.63,99.994,94.2,False
2025-06-08,95.16,62,1.86,99.633,96.87,False
2025-06-09,97.59,142,3.47,100.0,95.95,False
2025-06-10,92.13,147,3.63,99.833,93.51,False
2025-06-11,95.42,160,1.2,100.0,97.92,False
2025-06-12,92.94,175,2.23,99.737,95.54,False
2025-06-13,94.05,168,4.33,99.935,93.44,False
2025-06-14,94.45,54,4.28,99.97,93.67,False
2025-06-15,94.37,52,1.98,99.869,96.47,False
2025-06-16,94.2,148,3.82,99.981,94.15,False
2025-06-17,95.01,158,5.89,99.847,91.84,False
2025-06-18,94.2,166,5.21,99.77,92.34,False
2025-06-19,92.81,151,3.37,100.0,94.17,False
2025-06-20,96.17,140,2.79,100.0,96.23,False
2025-06-21,96.13,67,2.58,99.748,96.39,False
2025-06-22,96.26,60,4.46,100.0,94.18,False
2025-06-23,92.69,151,3.89,99.751,93.37,False
2025-06-24,95.45,134,4.84,99.663,93.27,False
2025-06-25,96.01,178,3.77,100.0,94.94,False
2025-06-26,93.45,179,5.32,99.559,91.83,False
2025-06-27,95.01,152,3.7,100.0,94.63,False
2025-06-28,94.83,54,5.23,99.849,92.6,False
2025-06-29,97.76,56,5.46,99.858,93.49,False
2025-06-30,67.14,418,11.86,93.519,71.02,True
2025-07-01,92.5,151,1.43,100.0,96.46,False
2025-07-02,98.74,159,7.64,99.735,91.11,False
2025-07-03,93.63,136,4.01,100.0,93.68,False
2025-07-04,96.47,144,1.5,99.923,97.94,False
2025-07-05,96.46,56,2.47,99.649,96.62,False
2025-07-06,93.51,63,5.19,99.866,92.11,False
2025-07-07,95.74,161,3.07,100.0,95.71,False
2025-07-08,61.44,599,15.47,87.201,62.01,True
2025-07-09,95.83,155,7.11,100.0,90.69,False
2025-07-10,95.35,126,2.09,99.662,96.66,False
2025-07-11,96.79,134,2.37,99.998,97.01,False
2025-07-12,95.11,63,3.92,100.0,94.39,False
2025-07-13,94.75,73,4.29,100.0,93.79,False
2025-07-14,96.64,158,4.52,100.0,94.25,False
2025-07-15,95.87,156,5.57,99.973,92.63,False
2025-07-16,96.1,149,3.9,99.886,94.78,False
2025-07-17,94.0,144,4.51,99.778,93.14,False
2025-07-18,93.43,156,3.1,99.52,94.58,False
2025-07-19,94.15,71,3.64,99.968,94.35,False
2025-07-20,94.07,64,3.72,99.937,94.2,False
2025-07-21,96.18,177,3.93,100.0,94.81,False
2025-07-22,96.46,159,5.19,99.632,93.21,False
2025-07-23,94.77,152,4.66,100.0,93.33,False
2025-07-24,97.15,150,3.61,100.0,95.6,False
2025-07-25,97.05,147,2.36,99.916,97.1,False
2025-07-26,95.37,56,3.65,99.888,94.79,False
2025-07-27,93.77,59,3.48,99.962,94.39,False
2025-07-28,97.36,130,3.89,100.0,95.34,False
2025-07-29,94.91,156,10.64,99.695,85.81,False
2025-07-30,95.19,138,2.72,99.941,95.91,False
2025-07-31,94.49,165,4.36,99.74,93.51,False
2025-08-01,93.67,156,6.02,99.791,91.11,False
2025-08-02,92.8,55,3.71,99.89,93.7,False
2025-08-03,95.95,55,11.36,100.0,85.43,False
2025-08-04,93.82,170,2.92,100.0,95.13,False
2025-08-05,99.59,151,4.15,99.99,95.89,False
2025-08-06,93.37,178,2.37,99.825,95.58,False
2025-08-07,93.11,141,2.96,100.0,94.79,False
2025-08-08,95.77,146,4.0,99.814,94.49,False
2025-08-09,74.07,152,17.38,86.616,64.47,True
2025-08-10,95.1,59,4.14,99.545,93.95,False
2025-08-11,95.86,165,6.63,100.0,91.31,False
2025-08-12,92.23,151,3.37,100.0,93.94,False
2025-08-13,93.98,155,2.99,100.0,95.11,False
2025-08-14,93.39,172,13.64,99.622,81.42,False
2025-08-15,92.16,160,4.3,100.0,92.74,False
2025-08-16,95.18,59,2.46,99.914,96.21,False
2025-08-17,91.64,54,2.49,100.0,94.79,False
2025-08-18,93.02,142,2.2,99.57,95.55,False
2025-08-19,94.19,153,5.64,100.0,91.88,False
2025-08-20,93.75,139,2.94,100.0,95.07,False
2025-08-21,95.59,165,3.76,99.892,94.75,False
2025-08-22,95.46,162,3.42,100.0,95.16,False
2025-08-23,96.34,50,5.09,99.747,93.34,False
2025-08-24,96.13,49,2.31,99.784,96.74,False
2025-08-25,96.71,136,2.06,99.807,97.29,False
2025-08-26,95.0,154,3.95,99.529,94.15,False
2025-08-27,95.46,135,4.77,100.0,93.47,False
2025-08-28,95.77,141,4.17,100.0,94.35,False
2025-08-29,95.21,156,2.36,99.76,96.31,False
2025-08-30,70.92,170,14.28,86.24,66.95,True
2025-08-31,94.5,58,2.43,99.847,95.95,False
2025-09-01,93.77,150,2.72,99.966,95.35,False
2025-09-02,95.63,131,2.2,99.774,96.67,False
2025-09-03,94.86,149,6.77,99.723,90.64,False
2025-09-04,94.01,123,4.85,100.0,92.8,False
2025-09-05,94.01,145,4.78,99.887,92.84,False
2025-09-06,93.18,58,6.59,100.0,90.29,False
2025-09-07,96.47,66,14.41,99.909,81.8,False
2025-09-08,95.12,150,1.5,99.715,97.32,False
2025-09-09,93.71,135,2.44,100.0,95.68,False
2025-09-10,96.21,131,2.59,100.0,96.49,False
2025-09-11,94.16,151,2.31,100.0,96.03,False
2025-09-12,92.89,123,2.06,100.0,95.83,False
2025-09-13,96.53,58,3.04,99.769,95.98,False
2025-09-14,94.19,68,1.92,99.875,96.48,False
2025-09-15,94.39,135,4.17,99.866,93.74,False
2025-09-16,95.06,163,3.62,99.642,94.62,False
2025-09-17,96.71,163,4.49,99.847,94.27,False
2025-09-18,95.03,146,4.55,100.0,93.57,False
2025-09-19,93.2,141,4.77,99.947,92.55,False
2025-09-20,95.82,60,2.93,99.631,95.79,False
2025-09-21,94.27,59,10.19,99.589,86.07,False
2025-09-22,97.83,139,3.97,100.0,95.42,False
2025-09-23,95.0,159,1.39,99.882,97.47,False
2025-09-24,91.65,130,2.14,99.771,95.16,False
2025-09-25,95.54,137,1.48,99.845,97.56,False
2025-09-26,97.92,134,3.56,99.605,95.83,False
2025-09-27,97.36,59,3.32,100.0,96.04,False
2025-09-28,97.75,70,2.79,99.821,96.79,False
2025-09-29,93.47,139,9.65,100.0,86.58,False
2025-09-30,96.37,142,4.64,99.91,93.96,False
2025-10-01,93.92,152,5.08,100.0,92.47,False
2025-10-02,95.34,163,2.22,99.951,96.6,False
2025-10-03,93.09,109,2.14,100.0,95.81,False
2025-10-04,94.03,62,3.6,100.0,94.37,False
2025-10-05,93.99,54,3.85,100.0,94.03,False
2025-10-06,96.35,160,1.4,99.97,98.03,False
2025-10-07,96.2,152,3.23,99.853,95.65,False
